1,Lion,2016-01-01,2016-03-01,60,60,0,8,8,0,100.0%
2,Bear,2016-05-01,2016-09-01,123,73,50,17,0,17,59.3%
3,Lion,2016-09-01,2016-11-01,61,0,61,8,0,8,0.0%
4,Rooster,2017-01-01,2017-05-01,120,0,120,16,0,16,0.0%
5,Lion,2017-05-01,2017-07-01,61,0,61,8,0,8,0.0%
6,Phoenix,2017-09-01,2018-01-01,122,0,122,16,0,16,0.0%
7,Lion,2018-01-01,2018-03-01,59,0,59,7,0,7,0.0%
8,Dragon,2018-05-01,2018-09-01,123,0,123,17,0,17,0.0%
9,Lion,2018-09-01,2018-11-01,61,0,61,8,0,8,0.0%
10,Bear,2019-01-01,2019-05-01,120,0,120,16,0,16,0.0%
11,Lion,2019-05-01,2019-07-01,61,0,61,8,0,8,0.0%
12,Rooster,2019-09-01,2020-01-01,122,0,122,16,0,16,0.0%
13,Lion,2020-01-01,2020-03-01,60,0,60,8,0,8,0.0%
14,Phoenix,2020-05-01,2020-09-01,123,0,123,17,0,17,0.0%
15,Lion,2020-09-01,2020-11-01,61,0,61,8,0,8,0.0%
16,Dragon,2021-01-01,2021-05-01,120,0,120,16,0,16,0.0%
17,Lion,2021-05-01,2021-07-01,61,0,61,8,0,8,0.0%
18,Bear,2021-09-01,2022-01-01,122,0,122,16,0,16,0.0%
19,Lion,2022-01-01,2022-03-01,59,0,59,7,0,7,0.0%
20,Rooster,2022-05-01,2022-09-01,123,0,123,17,0,17,0.0%
21,Lion,2022-09-01,2022-11-01,61,0,61,8,0,8,0.0%
22,Phoenix,2023-01-01,2023-05-01,120,0,120,16,0,16,0.0%
23,Lion,2023-05-01,2023-07-01,61,0,61,8,0,8,0.0%
24,Dragon,2023-09-01,2024-01-01,122,0,122,16,0,16,0.0%
25,Lion,2024-01-01,2024-03-01,60,0,60,8,0,8,0.0%
26,Bear,2024-05-01,2024-09-01,123,0,123,17,0,17,0.0%
27,Lion,2024-09-01,2024-11-01,61,0,61,8,0,8,0.0%
28,Rooster,2025-01-01,2025-05-01,120,0,120,16,0,16,0.0%
29,Lion,2025-05-01,2025-07-01,61,0,61,8,0,8,0.0%
30,Phoenix,2025-09-01,2026-01-01,122,0,122,16,0,16,0.0%
31,Lion,2026-01-01,2026-03-01,59,0,59,7,0,7,0.0%
32,Dragon,2026-05-01,2026-09-01,123,0,123,17,0,17,0.0%
33,Lion,2026-09-01,2026-11-01,61,0,61,8,0,8,0.0%
34,Bear,2027-01-01,2027-05-01,120,0,120,16,0,16,0.0%
35,Lion,2027-05-01,2027-07-01,61,0,61,8,0,8,0.0%
